Source - Field API Name,Source - Field Label,Source - Data Type,Target - Field Label,Target - Field API Name,Target - Data Type,Transform / Notes
Completed Date,Completed_Date__c,Date,Completed Date,Completed_Date__c,Date,
Completed Under Prior Employer,Completed_Under_Prior_Employer__c,Formula (Checkbox),Completed Under Prior Employer,Completed_Under_Prior_Employer__c,Formula (Checkbox),
Contact,Contact__c,Lookup(Contact),Contact,Contact__c,Lookup(Contact),
Course Enrollment Number,Name,Auto Number,Course Enrollment Number,Name,Auto Number,
Created By,CreatedById,Lookup(User),Created By,CreatedById,Lookup(User),
Created Date,CreatedDate,Date/Time,Created Date,CreatedDate,Date/Time,
Deleted,IsDeleted,Checkbox,Deleted,IsDeleted,Checkbox,
Docebo Course Code,Docebo_Course_Code__c,Text(50),Docebo Course Code,Docebo_Course_Code__c,Text(50),
Docebo Course ID,Docebo_Course_ID__c,Text(18),Docebo Course ID,Docebo_Course_ID__c,Text(18),
Docebo Course Title,Docebo_Course_Title__c,Text(255),Docebo Course Title,Docebo_Course_Title__c,Text(255),
Docebo Deleted,Docebo_Deleted__c,Checkbox,Docebo Deleted,Docebo_Deleted__c,Checkbox,
Docebo LP Enrollment,Docebo_LP_Enrollment__c,Lookup(LP Enrollment),Docebo LP Enrollment,Docebo_LP_Enrollment__c,Lookup(LP Enrollment),
Docebo Score,Docebo_Score__c,Text(5),Docebo Score,Docebo_Score__c,Text(5),
Docebo User ID,Docebo_User_ID__c,Text(18),Docebo User ID,Docebo_User_ID__c,Text(18),
Docebo Username,Docebo_Username__c,Text(255),Docebo Username,Docebo_Username__c,Text(255),
Enrollment Date,Enrollment_Date__c,Date,Enrollment Date,Enrollment_Date__c,Date,
Ext Enrollment ID,Ext_Enrollment_ID__c,Text(50) — External ID,Ext Enrollment ID,Ext_Enrollment_ID__c,Text(50) — External ID,
Last Activity Date,LastActivityDate,Date,Last Activity Date,LastActivityDate,Date,
Last Modified By,LastModifiedById,Lookup(User),Last Modified By,LastModifiedById,Lookup(User),
Last Modified Date,LastModifiedDate,Date/Time,Last Modified Date,LastModifiedDate,Date/Time,
Last Referenced Date,LastReferencedDate,Date/Time,Last Referenced Date,LastReferencedDate,Date/Time,
Last Viewed Date,LastViewedDate,Date/Time,Last Viewed Date,LastViewedDate,Date/Time,
Owner,OwnerId,Lookup(User, Group),Owner,OwnerId,Lookup(User, Group),
Record ID,Id,ID,Record ID,Id,ID,
Status,Status__c,Picklist,Status,Status__c,Picklist,
System Modstamp,SystemModstamp,Date/Time,System Modstamp,SystemModstamp,Date/Time,
Unenrollment Date,Unenrollment_Date__c,Date/Time,Unenrollment Date,Unenrollment_Date__c,Date/Time,
