Source - Field API Name,Source - Field Label,Source - Data Type,Target - Field Label,Target - Field API Name,Target - Data Type,Transform / Notes
Completed Date,Completed_Date__c,Date,Completed Date,Completed_Date__c,Date,
Completed Under Prior Employer,Completed_Under_Prior_Employer__c,Formula (Checkbox),Completed Under Prior Employer,Completed_Under_Prior_Employer__c,Formula (Checkbox),
Contact,Contact__c,Lookup(Contact),Contact,Contact__c,Lookup(Contact),
Course Count,Course_Count__c,Number(18, 0),Course Count,Course_Count__c,Number(18, 0),
Created By,CreatedById,Lookup(User),Created By,CreatedById,Lookup(User),
Created Date,CreatedDate,Date/Time,Created Date,CreatedDate,Date/Time,
Deleted,IsDeleted,Checkbox,Deleted,IsDeleted,Checkbox,
Docebo Deleted,Docebo_Deleted__c,Checkbox,Docebo Deleted,Docebo_Deleted__c,Checkbox,
Docebo User ID,Docebo_User_ID__c,Text(18),Docebo User ID,Docebo_User_ID__c,Text(18),
Docebo Username,Docebo_Username__c,Text(255),Docebo Username,Docebo_Username__c,Text(255),
Enrollment Date,Enrollment_Date__c,Date,Enrollment Date,Enrollment_Date__c,Date,
Ext Enrollment ID,Ext_Enrollment_ID__c,Text(50) — External ID,Ext Enrollment ID,Ext_Enrollment_ID__c,Text(50) — External ID,
Last Activity Date,LastActivityDate,Date,Last Activity Date,LastActivityDate,Date,
Last Modified By,LastModifiedById,Lookup(User),Last Modified By,LastModifiedById,Lookup(User),
Last Modified Date,LastModifiedDate,Date/Time,Last Modified Date,LastModifiedDate,Date/Time,
Last Referenced Date,LastReferencedDate,Date/Time,Last Referenced Date,LastReferencedDate,Date/Time,
Last Viewed Date,LastViewedDate*,Date/Time,Last Viewed Date,LastViewedDate*,Date/Time,
LP Code,LP_Code__c,Text(50),LP Code,LP_Code__c,Text(50),
LP ID,LP_ID__c*,Text(18),LP ID,LP_ID__c*,Text(18),
LP Enrollment Number,Name,Auto Number,LP Enrollment Number,Name,Auto Number,
LP Title,LP_Title__c,Text(255),LP Title,LP_Title__c,Text(255),
Owner,OwnerId,Lookup(User, Group),Owner,OwnerId,Lookup(User, Group),
Percent Complete*,Percent_Complete__c,Percent(3, 0),Percent Complete*,Percent_Complete__c,Percent(3, 0),
Record ID,Id,ID,Record ID,Id,ID,
Status,Status__c,Picklist,Status,Status__c,Picklist,
System Modstamp,SystemModstamp,Date/Time,System Modstamp,SystemModstamp,Date/Time,
Unenrollment Date,Unenrollment_Date__c,Date/Time,Unenrollment Date,Unenrollment_Date__c,Date/Time,
