Source - Field API Name,Source - Field Label,Source - Data Type,Target - Field Label,Target - Field API Name,Target - Data Type,Transform / Notes
Account,Account__c,Lookup(Account),Account,Account__c,Lookup(Account),
Amount,Amount__c,Formula (Currency),Amount,Amount__c,Formula (Currency),
Created By,CreatedById,Lookup(User),Created By,CreatedById,Lookup(User),
Created Date,CreatedDate,Date/Time,Created Date,CreatedDate,Date/Time,
Deleted,IsDeleted,Checkbox,Deleted,IsDeleted,Checkbox,
Last Activity Date,LastActivityDate,Date,Last Activity Date,LastActivityDate,Date,
Last Modified By,LastModifiedById,Lookup(User),Last Modified By,LastModifiedById,Lookup(User),
Last Modified Date,LastModifiedDate,Date/Time,Last Modified Date,LastModifiedDate,Date/Time,
Last Referenced Date,LastReferencedDate,Date/Time,Last Referenced Date,LastReferencedDate,Date/Time,
Last Viewed Date,LastViewedDate,Date/Time,Last Viewed Date,LastViewedDate,Date/Time,
Opportunity,Opportunity__c,Master-Detail(Opportunity),Opportunity,Opportunity__c,Master-Detail(Opportunity),
PGTI Dealer Id,PGTI_Dealer_Id__c,Formula (Text),PGTI Dealer Id,PGTI_Dealer_Id__c,Formula (Text),
Primary,Primary__c,Checkbox,Primary,Primary__c,Checkbox,
Record ID,Id,ID*,Record ID,Id,ID*,
Record Number,Name*,Auto Number,Record Number,Name*,Auto Number,
Role,Role__c,Picklist,Role,Role__c,Picklist,
System Modstamp,SystemModstamp,Date/Time,System Modstamp,SystemModstamp,Date/Time,
