Source - Field API Name,Source - Field Label,Source - Data Type,Target - Field Label,Target - Field API Name,Target - Data Type,Transform / Notes
Builder Metric Record,Builder_Metric_Record__c,Formula (Text),Builder Metric Record,Builder_Metric_Record__c,Formula (Text),
Builder Name,Name,Auto Number,Builder Name,Name,Auto Number,
Closed Impact %,Closed_Impact__c,Percent(18, 0),Closed Impact %,Closed_Impact__c,Percent(18, 0),
Corporate Builder,Corporate_Builder__c,Lookup(Account),Corporate Builder,Corporate_Builder__c,Lookup(Account),
Created By,CreatedById,Lookup(User),Created By,CreatedById,Lookup(User),
Created Date,CreatedDate,Date/Time,Created Date,CreatedDate,Date/Time,
Created Date,Created_Date_Formula__c,Formula (Date),Created Date,Created_Date_Formula__c,Formula (Date),
Deleted,IsDeleted,Checkbox,Deleted,IsDeleted,Checkbox,
Homes per Year,Homes_per_Year__c,Number(18, 0),Homes per Year,Homes_per_Year__c,Number(18, 0),
Last Modified By,LastModifiedById,Lookup(User),Last Modified By,LastModifiedById,Lookup(User),
Last Modified Date,LastModifiedDate,Date/Time,Last Modified Date,LastModifiedDate,Date/Time,
Last Referenced Date,LastReferencedDate,Date/Time,Last Referenced Date,LastReferencedDate,Date/Time,
Last Viewed Date,LastViewedDate,Date/Time,Last Viewed Date,LastViewedDate,Date/Time,
Market Share %,Market_Share__c,Percent(18, 0),Market Share %,Market_Share__c,Percent(18, 0),
Models per Year,Models_per_Year__c,Number(18, 0),Models per Year,Models_per_Year__c,Number(18, 0),
Owner*,OwnerId,Lookup(User, Group),Owner*,OwnerId,Lookup(User, Group),
Price Max,Price_Max__c,Currency(18, 0),Price Max,Price_Max__c,Currency(18, 0),
Price Min,Price_Min__c,Currency(18, 0),Price Min,Price_Min__c,Currency(18, 0),
Record ID,Id,ID*,Record ID,Id,ID*,
System Modstamp,SystemModstamp*,Date/Time,System Modstamp,SystemModstamp*,Date/Time,
