Source - Field API Name,Source - Field Label,Source - Data Type,Target - Field Label,Target - Field API Name,Target - Data Type,Transform / Notes
Campaign Member ID,Id,Id,Campaign Member ID,Id,Lookup(),
Campaign ID,CampaignId,Lookup,Campaign ID,CampaignId,Lookup(Campaign),
Contact ID,ContactId,Lookup,Contact ID,ContactId,Lookup(Contact),
Lead ID,LeadId,Lookup,Lead ID,LeadId,Lookup(Lead),
Status,Status,Picklist,Status,Status,Picklist,
Has Responded,HasResponded,Checkbox,Has Responded,HasResponded,Checkbox,
First Responded Date,FirstRespondedDate,DateTime,First Responded Date,FirstRespondedDate,Date,
Created Date,CreatedDate,DateTime,Created Date,CreatedDate,Date/Time,
Created By ID,CreatedById,Lookup,Created By ID,CreatedById,Lookup(User),
Last Modified Date,LastModifiedDate,DateTime,Last Modified Date,LastModifiedDate,Date/Time,
Last Modified By ID,LastModifiedById,Lookup,Last Modified By ID,LastModifiedById,Lookup(User),
Activity,wbsendit__Activity__c,Picklist,Activity,et4ae5__Activity__c,Picklist,
Activity Date,wbsendit__Activity_Date__c,Date/Time,Activity Date,(Not found),—,
Clicks,wbsendit__Clicks__c,Number(18, 0),Clicks,(Not found),—,
Opens,wbsendit__Opens__c,Number(18, 0),Opens,(Not found),—,
