Source - Field API Name,Source - Field Label,Source - Data Type,Target - Field Label,Target - Field API Name,Target - Data Type,Transform / Notes
Account,Account__c,Lookup(Account),Account,Account__c,Reference → Account,
Account Discount Id,Account_Discount_Id__c,Text(30),Account Discount Id,Account_Discount_Id__c,Text,
Account Owner Conflict,Account_Owner_Conflict__c,Formula (Checkbox),Account Owner Conflict,Not found in org,—,
Bill To,Bill_To__c,Text(255),Bill To,Bill_To__c,Text,
Brand,Brand__c,Text(255),Brand,Brand__c,Text,
Case Safe Id,Case_Safe_Id__c,Formula (Text),Case Safe Id,Case_Safe_Id__c,Text,
Company,Company__c,Text(255),Company,Company__c,Text,
Created By,CreatedById*,Lookup(User),Created By,CreatedById,Reference → User,
Dealer Account,Dealer_Account__c,Formula (Text),Dealer Account,Dealer_Account__c,Text,
Dealer Asset,Dealer_Asset__c,Master-Detail(Dealer Asset),Dealer Asset,Dealer_Asset__c,Reference → Account,
Dealer Asset Price As,Dealer_Asset_Price_As__c,Formula (Text),Dealer Asset Price As,Dealer_Asset_Price_As__c,Text,
Default Update Status Flag,Defualt_Update_Status_Flag__c,Formula (Checkbox),Default Update Status Flag,Not found in org,—,
Discount %,Discount_Percent__*,Formula (Percent),Discount %,Not found in org,—,
Discount Amount,Discount_Amount__c,Number(1, 3),Discount Amount,Discount_Amount__c,Number (Double),
Discount Name (Auto Number),Name,Auto Number,Discount Name (Auto Number),Name,Text — Auto Name,
Discount Name,Discount_Name__c,Text(255),Discount Name,Discount_Name__c,Text,
Discount Record,Discount_Record__c,Formula (Text),Discount Record,Discount_Record__c,Text,
Discount Unique Id,Discount_Unique_Id__c,Text(60) — External ID, Unique (Case Insensitive),Discount Unique Id,Discount_Unique_Id__c,Text — Unique, External ID,
Discount Unique Id Prefix,Discount_Unique_Id_Prefix__c,Formula (Text),Discount Unique Id Prefix,Discount_Unique_Id_Prefix__c,Text,
DZW,DZW__c,Text(255),DZW,DZW__c,Text,
End Date,End_Date__c,Date,End Date,End_Date__c,Date,
Impact Type,Impact_Type__c,Text(255),Impact Type,Impact_Type__c,Text,
Last Modified By,LastModifiedById,Lookup(User),Last Modified By,LastModifiedById,Reference → User,
Material Type,Material_Type__c,Text(255),Material Type,Material_Type__c,Text,
Model Type,Model_Type__c,Text(255),Model Type,Model_Type__c,Text,
Multiplier %,Multiplier_Percent__c,Formula (Percent),Multiplier %,Not found in org,—,
Parent Product,Parent_Product__c,Text(255),Parent Product,Parent_Product__c,Text,
PGT Update Status Flag,Update_Status_Flag__c,Formula (Checkbox),PGT Update Status Flag,Not found in org,—,
PGTI Dealer Id,PGTI_Dealer_Id__c,Formula (Text),PGTI Dealer Id,PGTI_Dealer_Id__c,Text,
Price As,Price_As__c,Text(255),Price As,Price_As__c,Text,
Price Category Code,Price_Category_Code__c,Text(255),Price Category Code,Price_Category_Code__c,Text,
Product Family,Product_Family__c,Text(255),Product Family,Product_Family__c,Text,
Product Name,Product_Name__c,Formula (Text),Product Name,Product_Name__c,Text,
Quotrac DB Id,Quotrac_DB_Id__c,Text(40),Quotrac DB Id,Quotrac_DB_Id__c,Text,
Series,Series__c,Text(255),Series,Series__c,Text,
Ship To,Ship_To__c,Text(255),Ship To,Ship_To__c,Text,
Start Date,Start_Date__c,Date,Start Date,Start_Date__c,Date,
Status,Status__c,Text(255),Status,Status__c,Text,
Update Account Flag,Update_Account_Flag__c,Formula (Checkbox),Update Account Flag,Not found in org,—,
