Source - Field API Name,Source - Field Label,Source - Data Type,Target - Field Label,Target - Field API Name,Target - Data Type,Transform / Notes
Lead ID,Id,ID (18),Lead ID,Id,ID(18),
Deleted,IsDeleted,Boolean,Deleted,IsDeleted,Boolean,
Master Record ID,MasterRecordId,Lookup ‚Üí Lead,Lead (Master Record),MasterRecordId,Lookup(Lead),
Last Name,LastName,Text (80),Last Name,LastName,Text(80),
First Name,FirstName,Text (40),First Name,FirstName,Text(40),
Salutation,Salutation,Picklist (40),Salutation,Salutation,Picklist(40),
Middle Name,MiddleName,Text (40),Middle Name,MiddleName,Text(40),
Suffix,Suffix,Text (40),Suffix,Suffix,Text(40),
Full Name,Name,Text (121),Full Name,Name,Text(121),
Record Type ID,RecordTypeId,Lookup ‚Üí RecordType,Record Type ID,RecordTypeId,Record Type,
Title,Title,Text (128),Title,Title,Text(128),
Company,Company,Text (255),Company,Company,Text(255),
Street,Street,Text Area (255),Street,Street,Text Area(255),
City,City,Text (40),City,City,Text(40),
State/Province,State,Text (80),State/Province,State,Text(80),
Zip/Postal Code,PostalCode,Text (20),Zip/Postal Code,PostalCode,Text(20),
Country,Country,Text (80),Country,Country,Text(80),
State/Province Code,StateCode,Picklist (10),—,StateCode,—,
Country Code,CountryCode,Picklist (10),—,CountryCode,—,
Latitude,Latitude,Number,Latitude,Latitude,Number,
Longitude,Longitude,Number,Longitude,Longitude,Number,
Geocode Accuracy,GeocodeAccuracy,Picklist (40),Geocode Accuracy,GeocodeAccuracy,Picklist(40),
Address,Address,Address (Compound),Address,Address,Address (Compound),
Phone,Phone,Phone (40),Phone,Phone,Phone,
Mobile Phone,MobilePhone,Phone (40),Mobile Phone,MobilePhone,Phone,
Fax,Fax,Phone (40),Fax,Fax,Phone,
Email,Email,Email (80),Email,Email,Email,
Website,Website,URL (255),Website,Website,URL(255),
Photo URL,PhotoUrl,URL (255),Photo URL,PhotoUrl,URL(255),
Description,Description,Long Text Area (32000),Description,Description,Long Text Area(32000),
Lead Source,LeadSource,Picklist (255),Lead Source,LeadSource,Picklist(255),
Status,Status,Picklist (255),Lead Status,Status,Picklist(255),
Industry,Industry,Picklist (255),Industry,Industry,Picklist(255),
Rating,Rating,Picklist (255),Rating,Rating,Picklist(255),
Annual Revenue,AnnualRevenue,Currency (18/0),Annual Revenue,AnnualRevenue,Currency(18,0),
Employees,NumberOfEmployees,Number (8/0),No. of Employees,NumberOfEmployees,Number(8,0),
Owner ID,OwnerId,Lookup ‚Üí User/Group,Lead Owner,OwnerId,Lookup(User, Group),
Email Opt Out,HasOptedOutOfEmail,Checkbox,Email Opt Out,HasOptedOutOfEmail,Boolean,
Converted,IsConverted,Checkbox,Converted,IsConverted,Boolean,
Converted Date,ConvertedDate,Date,Converted Date,ConvertedDate,Date,
Converted Account ID,ConvertedAccountId,Lookup ‚Üí Account,Converted Account,ConvertedAccountId,Lookup(Account),
Converted Contact ID,ConvertedContactId,Lookup ‚Üí Contact,Converted Contact,ConvertedContactId,Lookup(Contact),
Converted Opportunity ID,ConvertedOpportunityId,Lookup ‚Üí Opportunity,Converted Project,ConvertedOpportunityId,Lookup(Opportunity),
Unread By Owner,IsUnreadByOwner,Checkbox,Unread By Owner,IsUnreadByOwner,Boolean,
Created Date,CreatedDate,Date/Time,Created Date,CreatedDate,Date/Time,
Created By ID,CreatedById,Lookup ‚Üí User,Created By,CreatedById,Lookup(User),
Last Modified Date,LastModifiedDate,Date/Time,Last Modified Date,LastModifiedDate,Date/Time,
Last Modified By ID,LastModifiedById,Lookup ‚Üí User,Last Modified By,LastModifiedById,Lookup(User),
System Modstamp,SystemModstamp,Date/Time,System Modstamp,SystemModstamp,Date/Time,
Last Activity,LastActivityDate,Date,Last Activity,LastActivityDate,Date,
Do Not Call,DoNotCall,Checkbox,Do Not Call,DoNotCall,Boolean,
Fax Opt Out,HasOptedOutOfFax,Checkbox,Fax Opt Out,HasOptedOutOfFax,Boolean,
Last Viewed Date,LastViewedDate,Date/Time,Last Viewed Date,LastViewedDate,Date/Time,
Last Referenced Date,LastReferencedDate,Date/Time,Last Referenced Date,LastReferencedDate,Date/Time,
Last Transfer Date,LastTransferDate,Date,Last Transfer Date,LastTransferDate,Date,
Partner Account ID,PartnerAccountId,Lookup ‚Üí Account,Partner Account,PartnerAccountId,Lookup(Account),
Data.com Key,Jigsaw,Text (20),Data.com Key,Jigsaw,Text(20),
Jigsaw Contact ID,JigsawContactId,Text (20),Jigsaw Contact Id,JigsawContactId,External Lookup,
Email Bounced Reason,EmailBouncedReason,Text (255),Email Bounced Reason,EmailBouncedReason,Text(255),
Email Bounced Date,EmailBouncedDate,Date/Time,Email Bounced Date,EmailBouncedDate,Date/Time,
Individual ID,IndividualId,Lookup ‚Üí Individual,Individual,IndividualId,Lookup(Individual),
State (Custom),State__c,Text (50),—,State__c,—,
Type,Type__c,Picklist (255),—,Type__c,—,
Deactivate FollowUp,Deactivate_FollowUp__c,Checkbox,—,Deactivate_FollowUp__c,—,
Best time to Contact,Best_time_to_Contact__c,Text (50),—,Best_time_to_Contact__c,—,
Campaign List,Campaign_List__c,Picklist (255),—,Campaign_List__c,—,
Co-Owner,Co_Owner__c,Lookup ‚Üí User,—,Co_Owner__c,—,
Product,Product__c,Picklist (255),—,Product__c,—,
Status (Custom),Status__c,Picklist (255),—,Status__c,—,
Comments (Long),Comments_1__c,Long Text Area (10000),—,Comments_1__c,—,
Lead Created By,Lead_Created_By__c,Picklist (255),—,Lead_Created_By__c,—,
Comments (Text),Comments__c,Text Area (255),—,Comments__c,—,
Created By WebTo Lead,Created_By_WebTo_Lead__c,Checkbox,—,Created_By_WebTo_Lead__c,—,
Campaign Monitor Opt Out,Campaign_Monitor_Opt_Out__c,Text (3),—,Campaign_Monitor_Opt_Out__c,—,
Co Owner Email,Co_Owner_Email__c,Email,—,Co_Owner_Email__c,—,
Web-To-Lead Alert Sent,Web_To_Lead_Alert_Sent__c,Checkbox,—,Web_To_Lead_Alert_Sent__c,—,
Owner not Western IT,Owner_not_Western_IT__c,Checkbox,—,Owner_not_Western_IT__c,—,
File Upload,File_Upload__c,URL (255),—,File_Upload__c,—,
Owner Email,Owner_Email__c,Email,—,Owner_Email__c,—,
Unbounce Page ID,UnbouncePageID__c,Text (250),—,UnbouncePageID__c,—,
Source,Source__c,Text (250),—,Source__c,—,
Submitter IP,SubmitterIP__c,Text (250),—,SubmitterIP__c,—,
Unbounce Submission Time,UnbounceSubmissionTime__c,Text (250),—,UnbounceSubmissionTime__c,—,
Unbounce Page Variant,UnbouncePageVariant__c,Text (250),—,UnbouncePageVariant__c,—,
Unbounce Submission Date,UnbounceSubmissionDate__c,Date,—,UnbounceSubmissionDate__c,—,
Marketing Campaign,Marketing_Campaign__c,Text Area (255),—,Marketing_Campaign__c,—,
Email Alert,Email_Alert__c,Formula (Date/Time),—,Email_Alert__c,—,
Web to Lead Update,Web_to_Lead_Update__c,Checkbox,—,Web_to_Lead_Update__c,—,
Cancel Workflow,Cancel_Workflow__c,Checkbox,—,Cancel_Workflow__c,—,
Owner Modified,Owner_Modified__c,Checkbox,—,Owner_Modified__c,—,
Restrict Owner Assignment,Restrict_Owner_Assignment__c,Checkbox,—,Restrict_Owner_Assignment__c,—,
Lead Owner,Lead_Owner__c,Formula (Text),—,Lead_Owner__c,—,
Google Adwords,Google_Adwords__c,Picklist (255),—,Google_Adwords__c,—,
Project Type,Project_Type__c,Picklist (255),Project Type,Project_Type__c,Picklist(255),
Transfer User,Transfer_User__c,Lookup ‚Üí User,—,Transfer_User__c,—,
Needs Score Synced,pi__Needs_Score_Synced__c,Checkbox,Needs Score Synced,pi__Needs_Score_Synced__c,Boolean,
Account Engagement Last Scored At,pi__Pardot_Last_Scored_At__c,Date/Time,Account Engagement Last Scored At,pi__Pardot_Last_Scored_At__c,Date/Time,
Account Engagement Campaign,pi__campaign__c,Text (255),Account Engagement Campaign,pi__campaign__c,Text(255),
Account Engagement Comments,pi__comments__c,Long Text Area (32000),Account Engagement Comments,pi__comments__c,Long Text Area(32000),
Account Engagement Conversion Date,pi__conversion_date__c,Date/Time,Account Engagement Conversion Date,pi__conversion_date__c,Date/Time,
Conversion Object Name,pi__conversion_object_name__c,Text (255),Conversion Object Name,pi__conversion_object_name__c,Text(255),
Conversion Object Type,pi__conversion_object_type__c,Text (255),Conversion Object Type,pi__conversion_object_type__c,Text(255),
Account Engagement Created Date,pi__created_date__c,Date/Time,Account Engagement Created Date,pi__created_date__c,Date/Time,
