Source - Field API Name,Source - Field Label,Source - Data Type,Target - Field Label,Target - Field API Name,Target - Data Type,Transform / Notes
Created By,CreatedById,Lookup(User),Created By,CreatedById,Lookup(User),
Created Date,CreatedDate,Date/Time,Created Date,CreatedDate,Date/Time,
Dealer,Dealer__c,Lookup(Account),Dealer,Dealer__c,Lookup(Account),
Dealers Name,Name,Auto Number,Dealers Name,Name,Auto Number,
Deleted*,IsDeleted,Checkbox,Deleted*,IsDeleted,Checkbox,
Last Modified By,LastModifiedById,Lookup(User),Last Modified By,LastModifiedById,Lookup(User),
Last Modified Date,LastModifiedDate,Date/Time,Last Modified Date,LastModifiedDate,Date/Time,
Opportunity,Opportunity__c,Lookup(Opportunity),Opportunity,Opportunity__c,Lookup(Opportunity),
Owner,OwnerId,Lookup(User, Group),Owner,OwnerId,Lookup(User, Group),
Primary,Primary__c,Checkbox,Primary,Primary__c,Checkbox,
Record ID,Id,ID,Record ID,Id,ID,
System Modstamp,SystemModstamp,Date/Time,System Modstamp,SystemModstamp,Date/Time,
