Source - Field API Name,Source - Field Label,Source - Data Type,Target - Field Label,Target - Field API Name,Target - Data Type,Transform / Notes
Opportunity ID,Id,ID (18),Opportunity ID,Id,Lookup(),
Deleted,IsDeleted,Checkbox,Deleted,IsDeleted,Checkbox,
Account Name,AccountId,Lookup(Account),Account Name,AccountId,Lookup(Account),
Opportunity Record Type,RecordTypeId,Record Type,Opportunity Record Type,RecordTypeId,Record Type,
Private,IsPrivate,Checkbox,Private,IsPrivate,Checkbox,
Opportunity Name,Name,Text(120),Opportunity Name,Name,Text(120),
Description,Description,Long Text Area(32000),Description,Description,Long Text Area(32000),
Stage,StageName,Picklist,Stage,StageName,Picklist,
Amount,Amount,Currency(16,2),Amount,Amount__c,Currency(16,2),
Probability (%),Probability,Percent(3,0),Probability (%),Probability,Percent(3,0),
Expected Revenue,ExpectedRevenue,Currency(16,2),Expected Revenue,ExpectedRevenue,Currency(16,2),
Quantity,TotalOpportunityQuantity,Number(16,2),Quantity,TotalOpportunityQuantity,Number(16,2),
Expected Close Date,CloseDate,Date,Expected Close Date,CloseDate,Date,
Opportunity Type,Type,Picklist,Opportunity Type,Type,Picklist,
Next Step,NextStep,Text(255),Next Step,NextStep,Text(255),
Lead Source,LeadSource,Picklist,Lead Source,LeadSource,Picklist,
Closed,IsClosed,Checkbox,Closed,IsClosed,Checkbox,
Won,IsWon,Checkbox,Won,IsWon,Checkbox,
Forecast Category,ForecastCategory,Picklist,Forecast Category,ForecastCategory,Picklist,
Forecast Category (Name),ForecastCategoryName,Picklist,Forecast Category (Name),ForecastCategoryName,Picklist,
Primary Campaign Source,CampaignId,Lookup(Campaign),Primary Campaign Source,CampaignId,Lookup(Campaign),
Has Line Item,HasOpportunityLineItem,Checkbox,Has Line Item,HasOpportunityLineItem,Checkbox,
Is Split,IsSplit,Checkbox,Is Split,(Not found),—,
Price Book,Pricebook2Id,Lookup(Price Book),Price Book,Pricebook2Id,Lookup(Price Book),
Opportunity Owner,OwnerId,Lookup(User),Opportunity Owner,OwnerId,Lookup(User),
Territory,Territory2Id,Lookup(Territory),Territory,Territory2Id,Lookup(Territory),
Exclude from Territory Filter,IsExcludedFromTerritory2Filter,Checkbox,Exclude from Territory Filter,IsExcludedFromTerritory2Filter,Checkbox,
Created Date,CreatedDate,Date/Time,Created Date,CreatedDate,Date/Time,
Created By,CreatedById,Lookup(User),Created By,CreatedById,Lookup(User),
Last Modified Date,LastModifiedDate,Date/Time,Last Modified Date,LastModifiedDate,Date/Time,
Last Modified By,LastModifiedById,Lookup(User),Last Modified By,LastModifiedById,Lookup(User),
System Modstamp,SystemModstamp,Date/Time,System Modstamp,SystemModstamp,Date/Time,
Last Activity,LastActivityDate,Date,Last Activity,LastActivityDate,Date,
Fiscal Quarter,FiscalQuarter,Integer,Fiscal Quarter,(Derived — not a stored field),—,
Fiscal Year,FiscalYear,Integer,Fiscal Year,(Derived — not a stored field),—,
Fiscal Period,Fiscal,Picklist (Compound),Fiscal Period,(Derived — not a stored field),—,
Contact,ContactId,Lookup(Contact),Contact,ContactId,Lookup(Contact),
Last Viewed Date,LastViewedDate,Date/Time,Last Viewed Date,LastViewedDate,Date/Time,
Last Referenced Date,LastReferencedDate,Date/Time,Last Referenced Date,LastReferencedDate,Date/Time,
Object Access Level,UserRecordAccessId,Lookup(User Record Access),Object Access Level,UserRecordAccessId,Lookup(User Record Access),
Partner Account,PartnerAccountId,Lookup(Account),Partner Account,(Not found in FieldDefinition),—,
Synced Quote,SyncedQuoteId,Lookup(Quote),Synced Quote,SyncedQuoteId,—,
Contract,ContractId,Lookup(Contract),Contract,ContractId,Lookup(Contract),
Has Open Activity,HasOpenActivity,Checkbox,Has Open Activity,HasOpenActivity,Checkbox,
Has Overdue Task,HasOverdueTask,Checkbox,Has Overdue Task,HasOverdueTask,Checkbox,
Last Amount Changed History,LastAmountChangedHistoryId,Lookup(Opp History),Last Amount Changed History,LastAmountChangedHistoryId,Lookup(Project History),
Last Close Date Changed History,LastCloseDateChangedHistoryId,Lookup(Opp History),Last Close Date Changed History,LastCloseDateChangedHistoryId,Lookup(Project History),
Budget Confirmed,Budget_Confirmed__c,Checkbox,Budget Confirmed,(Not found),—,
Discovery Completed,Discovery_Completed__c,Checkbox,Discovery Completed,(Not found),—,
ROI Analysis Completed,ROI_Analysis_Completed__c,Checkbox,ROI Analysis Completed,(Not found),—,
Builder Contact,Builder_Contact__c,Lookup(Contact),Builder Contact,(Not found),—,
