Source - Field API Name,Source - Field Label,Source - Data Type,Target - Field Label,Target - Field API Name,Target - Data Type,Transform / Notes
Contact Role ID,Id,ID,Contact Role ID,Id,ID (18),
Contact,ContactId,Lookup(Contact),Contact,ContactId,Lookup (Contact),
Created By,CreatedById,Lookup(User),Created By,CreatedById,Lookup (User),
Deleted,IsDeleted,Checkbox,Deleted,IsDeleted,Checkbox,
Last Modified By,LastModifiedById,Lookup(User),Last Modified By,LastModifiedById,Lookup (User),
Last Modified Date,LastModifiedDate,Date/Time,Last Modified Date,LastModifiedDate,Date/Time,
Opportunity,OpportunityId,Lookup(Opportunity),Opportunity,OpportunityId,Lookup (Opportunity),
Primary,IsPrimary,Checkbox,Primary,IsPrimary,Checkbox,
Role,Role,Picklist,Role,Role,Picklist,
Created Date,CreatedDate,Date/Time,Created Date,CreatedDate,Date/Time,
System Modstamp,SystemModstamp,Date/Time,System Modstamp,SystemModstamp,Date/Time,
