Source - Field API Name,Source - Field Label,Source - Data Type,Target - Field Label,Target - Field API Name,Target - Data Type,Transform / Notes
Add Default Team,Add_Default_Team__c,Checkbox,Add Default Team,—,—,
Created By,CreatedById,Lookup(User),Created By,CreatedById,Created By,
Created Date,CreatedDate,Date/Time,Created Date,CreatedDate,Created Date,
Deleted,IsDeleted,Checkbox,Deleted,IsDeleted,Deleted,
Email,Email_del__c,Email,Email,—,—,
Last Modified By,LastModifiedById,Lookup(User),Last Modified By,LastModifiedById,Last Modified By,
Last Modified Date,LastModifiedDate,Date/Time,Last Modified Date,LastModifiedDate,Last Modified Date,
Opportunity,OpportunityId,Lookup(Opportunity),Opportunity,OpportunityId,Opportunity,
Opportunity Access,OpportunityAccessLevel,Picklist,Opportunity Access,OpportunityAccessLevel,Project Access ,
Opportunity Team Member ID,Id,ID,Opportunity Team Member ID,Id,Project Team Member ID ,
Opportunity Team Member Name,Name,Text(361),Opportunity Team Member Name,Name,Opportunity Team Member Name,
System Modstamp,SystemModstamp,Date/Time,System Modstamp,SystemModstamp,System Modstamp,
Team Role,TeamMemberRole,Picklist,Team Role,TeamMemberRole,Team Role,
Title,Title,Text(80),Title,Title,Title,
URL for thumbnail sized photo,PhotoUrl,URL(255),URL for thumbnail sized photo,PhotoUrl,URL for thumbnail sized photo,
User,UserId,Lookup(User),User,UserId,User,
