Source - Field API Name,Source - Field Label,Source - Data Type,Target - Field Label,Target - Field API Name,Target - Data Type,Transform / Notes
AccountId,AccountId__c,Formula (Text),AccountId,AccountId__c,Formula (Text),
Active,IsActive__c,Checkbox,Active,IsActive__c,Checkbox,
Architect,Architect__c,Lookup(Account),Architect,Architect__c,Lookup(Account),
Bid Type,Bid_Type__c,Picklist,Bid Type,Bid_Type__c,Picklist,
Brands,Brands__c,Picklist (Multi-Select),Brands,Brands__c,Picklist (Multi-Select),
Commercial Opportunity,Commercial_Opportunity__c,Lookup(Opportunity),Commercial Opportunity,Commercial_Opportunity__c,Lookup(Opportunity),
Commercial Opportunity Stage,Commercial_Opportunity_Stage__c,Formula (Text),Commercial Opportunity Stage,Commercial_Opportunity_Stage__c,Formula (Text),
Construction Type,Construction_Type__c,Picklist,Construction Type,Construction_Type__c,Picklist,
Created By,CreatedById,Lookup(User),Created By,CreatedById,Lookup(User),
Created Date,CreatedDate,Date/Time,Created Date,CreatedDate,Date/Time,
Dealer,Dealer__c,Lookup(Account),Dealer,Dealer__c,Lookup(Account),
Dealer (External),Dealer_External__c,Text(255),Dealer (External),Dealer_External__c,Text(255),
Dealer Name,Dealer_Name_Formula__c,Formula (Text),Dealer Name,Dealer_Name_Formula__c,Formula (Text),
Dealer Name (Simple),Dealer_Name_Simple__c,Formula (Text),Dealer Name (Simple),Dealer_Name_Simple__c,Formula (Text),
Deleted,IsDeleted*,Checkbox,Deleted,IsDeleted*,Checkbox,
Description,Description__c,Text Area(255),Description,Description__c,Text Area(255),
Developer,Developer__c,Lookup(Account),Developer,Developer__c,Lookup(Account),
Job Name,Job_Name__c,Text(255),Job Name,Job_Name__c,Text(255),
Last Activity Date,LastActivityDate,Date,Last Activity Date,LastActivityDate,Date,
Last Modified By,LastModifiedById,Lookup(User),Last Modified By,LastModifiedById,Lookup(User),
Last Modified Date,LastModifiedDate,Date/Time,Last Modified Date,LastModifiedDate,Date/Time,
Last Referenced Date,LastReferencedDate,Date/Time,Last Referenced Date,LastReferencedDate,Date/Time,
Last Viewed Date,LastViewedDate,Date/Time,Last Viewed Date,LastViewedDate,Date/Time,
Manager Email,Manager_Email__c,Email,Manager Email,Manager_Email__c,Email,
Multi-Brand Quote,Multi_Brand_Quote__c,Checkbox,Multi-Brand Quote,Multi_Brand_Quote__c,Checkbox,
Number of Floors,Number_of_Floors__c,Picklist,Number of Floors,Number_of_Floors__c,Picklist,
On Hold,On_Hold__c,Checkbox,On Hold,On_Hold__c,Checkbox,
Opportunity,Opportunity__c,Lookup(Opportunity),Opportunity,Opportunity__c,Lookup(Opportunity),
Opportunity Expected Close Date,Opportunity_Expected_Close_Date__c,Formula (Date),Opportunity Expected Close Date,Opportunity_Expected_Close_Date__c,Formula (Date),
Opportunity Last Modified Date,Opportunity_Last_Modified_Date__c,Formula (Date),Opportunity Last Modified Date,Opportunity_Last_Modified_Date__c,Formula (Date),
Opportunity Probability,Opportunity_Probability__c,Formula (Percent),Opportunity Probability,Opportunity_Probability__c,Formula (Percent),
Opportunity Required By Date,Opportunity_Required_By_Date__c,Formula (Date),Opportunity Required By Date,Opportunity_Required_By_Date__c,Formula (Date),
Opportunity Series,Opportunity_Series__c,Formula (Text),Opportunity Series,Opportunity_Series__c,Formula (Text),
Opportunity Stage,Opportunity_Stage__c,Formula (Text),Opportunity Stage,Opportunity_Stage__c,Formula (Text),
OwnerId,OwnerId__c,Formula (Text),OwnerId,OwnerId__c,Formula (Text),
Owner,OwnerId,Lookup(User, Group),Owner,OwnerId,Lookup(User, Group),
Project Type,Project_Type__c*,Picklist,Project Type,Project_Type__c*,Picklist,
Quote Number(s),Quote_Number_s__c,Text(255),Quote Number(s),Quote_Number_s__c,Text(255),
Quote Recipient,Quote_Recipient__c,Email,Quote Recipient,Quote_Recipient__c,Email,
Quote Request Type,Quote_Request_Type__c,Picklist,Quote Request Type,Quote_Request_Type__c,Picklist,
Record ID,Id,ID,Record ID,Id,ID,
Request Number,Name,Auto Number*,Request Number,Name,Auto Number*,
Status,Status__c,Picklist,Status,Status__c,Picklist,
System Modstamp,SystemModstamp,Date/Time,System Modstamp,SystemModstamp,Date/Time,
Territory,Territory__c,Formula (Text),Territory,Territory__c,Formula (Text),
Total Amount,Total_Amount__c*,Currency(16, 2),Total Amount,Total_Amount__c*,Currency(16, 2),
