Source - Field API Name,Source - Field Label,Source - Data Type,Target - Field Label,Target - Field API Name,Target - Data Type,Transform / Notes
Amount,Amount__c,Currency(16, 2),Amount,Amount__c,Currency(16, 2),
Approved Date/Time,Approved_Date_Time__c,Date/Time,Approved Date/Time,Approved_Date_Time__c,Date/Time,
Brand,Brand__c,Picklist,Brand,Brand__c,Picklist,
CMIT Submitted,CMIT_Submitted__c,Formula (Checkbox),CMIT Submitted,CMIT_Submitted__c,Formula (Checkbox),
Created By,CreatedById,Lookup(User),Created By,CreatedById,Lookup(User),
Created Date,CreatedDate,Date/Time,Created Date,CreatedDate,Date/Time,
Deleted,IsDeleted,Checkbox,Deleted,IsDeleted,Checkbox,
Job Name,Job_Name__c,Formula (Text),Job Name,Job_Name__c,Formula (Text),
Last Modified By,LastModifiedById,Lookup(User),Last Modified By,LastModifiedById,Lookup(User),
Last Modified Date,LastModifiedDate,Date/Time,Last Modified Date,LastModifiedDate,Date/Time,
Last Activity Date,LastActivityDate,Date,Last Activity Date,LastActivityDate,Date,
Last Referenced Date,LastReferencedDate*,Date/Time,Last Referenced Date,LastReferencedDate*,Date/Time,
Last Viewed Date,LastViewedDate,Date/Time,Last Viewed Date,LastViewedDate,Date/Time,
Line Item Number,Name*,Auto Number,Line Item Number,Name*,Auto Number,
On Hold,On_Hold__c,Formula (Checkbox),On Hold,On_Hold__c,Formula (Checkbox),
Owner,OwnerId,Lookup(User, Group),Owner,OwnerId,Lookup(User, Group),
Pricing Next Steps,Pricing_Next_Steps__c,Text(255),Pricing Next Steps,Pricing_Next_Steps__c,Text(255),
Pricing Review Notes,Pricing_Review_Notes__c,Rich Text Area(32768),Pricing Review Notes,Pricing_Review_Notes__c,Rich Text Area(32768),
Quote Description,Quote_Description__c,Formula (Text),Quote Description,Quote_Description__c,Formula (Text),
Quote Number(s),Quote_Number__c,Text(255),Quote Number(s),Quote_Number__c,Text(255),
Quote Request,Quote_Request__c,Lookup(Quote Request),Quote Request,Quote_Request__c,Lookup(Quote Request),
Record ID,Id,ID,Record ID,Id,ID,
Related Dealer,Related_Dealer__c,Formula (Text),Related Dealer,Related_Dealer__c,Formula (Text),
Status,Status__c,Picklist,Status,Status__c,Picklist,
System Modstamp,SystemModstamp,Date/Time,System Modstamp,SystemModstamp,Date/Time,
