Source - Field API Name,Source - Field Label,Source - Data Type,Target - Field Label,Target - Field API Name,Target - Data Type,Transform / Notes
Account,Account__c,Lookup(Account),Account,Account__c,Lookup (Account),
Account Owner Conflict,Account_Owner_Conflict__c,Formula (Checkbox),Account Owner Conflict,—,—,
Account Territory,Account_Territory__c,Formula (Text),Account Territory,—,—,
Bill To,Bill_To__c,Text(255),Bill To,Bill_To__c,Text (255),
Brand,Brand__c,Text(255),Brand,Brand__c,Text (255),
Brand Account Number,Brand_Account__c,Text(80),Brand Account Number,—,—,
Case Safe Id,Case_Safe_Id__c,Formula (Text),Case Safe Id,Case_Safe_Id__c,Text (255),
Commercial Opportunity,Commercial_Opportunity__c,Lookup(Opportunity),Commercial Opportunity,—,—,
Created By,CreatedById,Lookup(User),Created By,CreatedById,Lookup (User),
Dealer Account,Dealer_Account__c,Formula (Text),Dealer Account,Dealer_Account__c,Text (255),
Dealer Asset,Dealer_Asset__c,Master-Detail(Dealer Asset),Dealer Asset,Dealer_Asset__c,Lookup (Account),
Discount Price As,Discount_Price_As__c,Text(255),Discount Price As,—,—,
Discount Price As Prefix,Discount_Price_As_Prefix__c,Formula (Text),Discount Price As Prefix,—,—,
Entered By,Entered_By__c,Text(255),Entered By,—,—,
Invoice Date,Invoice_Date__c,Date,Invoice Date,Invoice_Date__c,Date,
Invoice Month,Invoice_Month__c,Formula (Number),Invoice Month,Invoice_Month__c,Date,
Invoice Number,Invoice_Number__c,Text(255),Invoice Number,Invoice_Number__c,Text (255),
Invoice Year,Invoice_Year__c,Formula (Number),Invoice Year,—,—,
Invoice Year (Text),Invoice_Year_Text__c,Formula (Text),Invoice Year (Text),—,—,
IsCreatedToday,IsCreatedToday__c,Formula (Checkbox),IsCreatedToday,—,—,
Job Name,Job_Name__c,Text(255),Job Name,—,—,
Last Modified By,LastModifiedById,Lookup(User),Last Modified By,LastModifiedById,Lookup (User),
Order Created Date,Order_Created_Date__c,Formula (Date),Order Created Date,—,—,
Order Date,Order_Date__c,Date,Order Date,Order_Date__c,Date,
Order Total,Order_Total__c,Currency(16, 2),Order Total,—,—,
Order Type,Order_Type__c,Text(255),Order Type,—,—,
PGTI Dealer Id,PGTI_Dealer_Id__c,Formula (Text),PGTI Dealer Id,PGTI_Dealer_Id__c,Text (255),
Project Number,Project_Number__c,Text(25),Project Number,—,—,
Quote Number,Quote_Number__c,Text(255),Quote Number,—,—,
Region,Region__c,Text(255),Region,—,—,
Sales Order Name,Name,Auto Number,Sales Order Name,Name,Text (80),
Sales Order Number,Sales_Order_Number__c,Text(255) — External ID,Sales Order Number,Name,Text (80),
Sales Order Record,Sales_Order_Record__c,Formula (Text),Sales Order Record,—,—,
Sales Order Unique ID,Sales_Order_Unique_ID__c,Text(25) — External ID, Unique (Case Sensitive),Sales Order Unique ID,Sales_Order_Key__c,Text (50) — Unique, External ID,
SEBU Opportunity,SEBU_Opportunity__c,Lookup(Opportunity),SEBU Opportunity,—,—,
Ship Date,Ship_Date__c,Date,Ship Date,Ship_Date__c,Date,
Ship To,Ship_To__c,Text(255),Ship To,Ship_To__c,Text (255),
Ship To PO,Ship_To_PO__c,Text(255),Ship To PO,—,—,
Ship Via,Ship_Via__c,Text(255),Ship Via,—,—,
Sold To,Sold_To__c,Text(255),Sold To,—,—,
Suffix,Suffix__c,Text(255),Suffix,—,—,
Territory,Territory__c,Text(255),Territory,Territory__c,Formula (Text),
Type,Type__c,Formula (Text),Type,Type__c,Picklist,
