Source - Field API Name,Source - Field Label,Source - Data Type,Target - Field Label,Target - Field API Name,Target - Data Type,Transform / Notes
% Of Business,PercentOfBusiness__c,Percent(3, 0),% Of Business,PercentOfBusiness__c,—,
Account,Account__c,Lookup(Account),Account,Account__c,Lookup(Account),
Account Name,Account_Name__c,Formula (Text),Account Name,Account_Name__c,Formula (Text),
Brand(s),Brands__c,Multi-Select Picklist,Brand(s),Brands__c,Multi-Select Picklist(4099),
Competitor Feedback,Competitor_Feedback__c,Long Text Area(32000),Competitor Feedback,Competitor_Feedback__c,Long Text Area(32000),
Created By,CreatedById,Lookup(User),Created By,CreatedById,Lookup(User),
Created By Role,Created_By_Role__c,Formula (Text),Created By Role,Created_By_Role__c,Formula (Text),
Created Date,CreatedDate,Date/Time,Created Date,CreatedDate,Date/Time,
Dealer Active,Dealer_Active__c,Formula (Checkbox),Dealer Active,Dealer_Active__c,Formula (Checkbox),
Dealer Brands,Dealer_Brands__c,Formula (Text),Dealer Brands,Dealer_Brands__c,Formula (Text),
Dealer Number,Dealer_Number__c,Formula (Text),Dealer Number,Dealer_Number__c,Formula (Text),
Dealer Territory,Dealer_Territory__c,Formula (Text),Dealer Territory,Dealer_Territory__c,Formula (Text),
Dealer's primary customer type?,Dealers_primary_customer_type__c,Picklist,Dealer's primary customer type?,Dealer_s_primary_customer_type__c,Picklist,
Deleted,IsDeleted,Checkbox,Deleted,IsDeleted,Checkbox,
Entry Difficulty,Entry_Difficulty__c,Picklist,Entry Difficulty,Entry_Difficulty__c,Picklist,
ETP Survey Points,ETP_Survey_Points__c,Formula (Number),ETP Survey Points,ETP_Survey_Points__c,Formula (Number),
ETP Year,ETP_Year__c,Text(4),ETP Year,ETP_Year__c,Text(4),
External Account Owner,External_Account_Owner__c,Email,External Account Owner,External_Account_Owner__c,Email,
Feedback Categories,Internal_Feedback_Buckets__c,Multi-Select Picklist,Feedback Categories,Feedback_Categories__c,Multi-Select Picklist(4099),
Feedback from dealer during visit?,Feedback_from_dealer_during_visit__c,Long Text Area(32000),Feedback from dealer during visit?,Feedback_from_dealer_during_visit__c,Long Text Area(32768),
How did you interact with your dealer?,How_did_you_interact_with_your_dealer__c,Picklist,How did you interact with your dealer?,How_did_you_interact_with_your_dealer__c,Picklist,
Internal Feedback Disposition,Internal_Feedback_Disposition__c,Multi-Select Picklist,Internal Feedback Disposition,Internal_Feedback_Disposition__c,Multi-Select Picklist(4099),
Last Activity Date,LastActivityDate*,Date,Last Activity Date,LastActivityDate,Date,
Last Modified By,LastModifiedById,Lookup(User),Last Modified By,LastModifiedById,Lookup(User),
Last Modified Date,LastModifiedDate,Date/Time,Last Modified Date,LastModifiedDate,Date/Time,
Last Referenced Date,LastReferencedDate,Date/Time,Last Referenced Date,LastReferencedDate,Date/Time,
Last Viewed Date,LastViewedDate,Date/Time,Last Viewed Date,LastViewedDate,Date/Time,
Month,Month__c,Formula (Text),Month,Month__c,Formula (Text),
Name of dealer visited?,Name_of_dealer_visited__c,Lookup(Account),Name of dealer visited?,Name_of_dealer_visited__c,Lookup(Account),
Notify Sales Support,Notify_Sales_Support__c,Checkbox,Notify Sales Support,Notify_Sales_Support__c,Checkbox,
Owner,OwnerId,Lookup(User, Group),Owner,OwnerId,Lookup(User, Group),
Percent of Business,Percent_of_Business__c,Picklist,Percent of Business,Percent_of_Business__c,Picklist,
Performance Card,Performance_Card__c,Lookup(Performance Card),Performance Card,Performance_Card__c,Lookup(Performance Card),
Prospect Type,Prospect_Type__c,Picklist,Prospect Type,Prospect_Type__c,Picklist,
Quality Issue,Quality_Issue__c,Formula (Checkbox),Quality Issue,Quality_Issue__c,Formula (Checkbox),
Record ID,Id,ID,Record ID,Id,ID,
Record Type,RecordTypeId,Record Type,Record Type,RecordTypeId,Record Type,
Repair Service Offered,Repair_Service_Offered__c,Picklist,Repair Service Offered,Repair_Service_Offered__c,Picklist,
Sales Order Line Number,Sales_Order_Line_Number__c,Text(255),Sales Order Line Number,Sales_Order_Line_Number__c,Text(255),
Sales order numbers related to feedback?,Sales_order_numbers_related_to_feedback__c,Long Text Area(32000),Sales order numbers related to feedback?,Sales_order_numbers_related_to_feedback__c,Long Text Area(32000),
Showroom Improvement,Showroom_Improvement__c,Picklist,Showroom Improvement,Showroom_Improvement__c,Picklist,
Status,Status__c,Picklist,Status,Status__c,Picklist,
Survey Name,Name,Auto Number,Survey Name,Name,Auto Number,
System Modstamp,SystemModstamp,Date/Time,System Modstamp,SystemModstamp,Date/Time,
Year,Year__c,Formula (Text),Year,Year__c,Formula (Text),
