Object (Target API Name),Source Record Count,Source Count Date,Target Record Count,Target Count Date,Variance,Notes
Lead,59002,08-04-2026,430730,08-04-2026,-371728,
Opportunity,447273,08-04-2026,42502,08-04-2026,404771,
Campaign,31,08-04-2026,295,08-04-2026,-264,
CampaignMember,12950,08-04-2026,1919,08-04-2026,11031,
CampaignMemberStatus,62,08-04-2026,591,08-04-2026,-529,
Discount__c,4823470,08-04-2026,0,08-04-2026,4823470,
Revenue_History__c,70550,08-04-2026,0,08-04-2026,70550,
Sales_Order__c,4409252,08-04-2026,18029724,08-04-2026,-13620472,
OpportunityContactRole,21917,08-04-2026,375,08-04-2026,21542,
OpportunityTeamMember,492503,08-04-2026,1093,08-04-2026,491410,
Account_Role__c,844,08-04-2026,,,,New Object
Builder_Metrics__c,13,08-04-2026,,,,New Object
docebo_Course_Enrollment__c,102542,08-04-2026,,,,New Object
docebo_LP_Enrollment__c,7335,08-04-2026,,,,New Object
Opportunity_Dealers__c,64303,08-04-2026,,,,New Object
Quote_Request__c,5236,08-04-2026,,,,New Object
Request_Line_Item__c,5451,08-04-2026,,,,New Object
Survey__c,47964,08-04-2026,,,,New Object
