Object Type,Source - Object Name,Source - Object API Name,Source - Standard/Custom,Source - Record Counts,Source - Record Count UpdatedAt,Object Dependency,Related Object Fields,Target - Object Name,Target - Object API Name,Target - Standard/Custom,Target - Record Counts,Target - Record Count UpdatedAt,Filter,Field Mapping Tab,Notes
Data,Lead,Lead,Standard,59002,08-04-2026,User | Group | Account | Contact | RecordType | Individual | Maps Assignment Rule(maps__AssignmentRule__c),OwnerId | RecordTypeId | PartnerAccountId | IndividualId | Co_Owner__c | Transfer_User__c | National_Account__c | maps__AssignmentRule__c,Lead,Lead,Standard,430730,08-04-2026 (9:00 P.M),,Lead,
Data,Opportunity,Opportunity,Standard,447273,08-04-2026,Account | RecordType | Campaign | Pricebook2 | User | Territory2 | Contact | Quote | Contract | Location | Product2 | Opportunity,AccountId | RecordTypeId | CampaignId | Pricebook2Id | OwnerId | Territory2Id | ContactId | PartnerAccountId | SyncedQuoteId | ContractId | Builder_Contact__c | Primary_Dealer__c | Architect_Contact__c | Builder__c | Outside_Rep_1__c | Outside_Rep_2__c | Inside_Rep_1__c | Inside_Rep_2__c | Arch_Rep__c | Architect__c | Dealer_Contact__c | Opportunities_Manual_Entry__c | Opportunities_CV__c | Arch_Opp_ClosedWon__c | Job_Location__c | Product__c | FSSR__c | Co_Owner__c | Parent_Opportunity__c,Opportunity,Opportunity,Standard,42502,08-04-2026 (9:00 P.M),Exclude 'CV Quote' Opportunities,Opportunity,
Data,Campaign,Campaign,Standard,31,08-04-2026,User | ContentDocument | PardotTenant | RecordType | Campaign | 'Business Unit'(compliancequest__SQX_Business_Unit__c),OwnerId | CampaignImageId | TenantId | CampaignMemberRecordTypeId | ParentId,Campaign,Campaign,Standard,295,08-04-2026 (9:00 P.M),,Campaign,
Data,Campaign Member,CampaignMember,Standard,12950,08-04-2026,Campaign | Lead | Contact ,CampaignId | LeadId | ContactId,Campaign Member,CampaignMember,Standard,1919,08-04-2026 (9:00 P.M),,Campaign Member,
Data,Campaign Member Status,CampaignMemberStatus,Standard,62,08-04-2026,Campaign,CampaignId,Campaign Member Status,CampaignMemberStatus,Standard,591,08-04-2026 (9:00 P.M),,Campaign Member Status,
Data,Discount,Discount__c,Custom,4823470,08-04-2026, Account,Account__c ,Discount,Discount__c,Custom,0,08-04-2026 (9:00 P.M),,Discount,
Data,Revenue History,Revenue_History__c,Custom,70550,08-04-2026,Account ,Account__c ,Revenue History,Revenue_History__c,Custom,0,08-04-2026 (9:00 P.M),,Revenue History,
Data,Sales Order,Sales_Order__c,Custom,4409252,08-04-2026,Account | Opportunity,Account__c | Commercial_Opportunity__c | SEBU_Opportunity__c,Sales Order,Sales_Order__c,Custom,18029724,08-04-2026 (9:00 P.M),,Sales Order,
Data,Opportunity Contact Role,OpportunityContactRole,Standard,21917,08-04-2026,Opportunity | Contact,OpportunityId | ContactId,Opportunity Contact Role,OpportunityContactRole,Standard,375,08-04-2026 (9:00 P.M),,Opportunity Contact Role,
Data,Opportunity Team Member,OpportunityTeamMember,Standard,492503,08-04-2026,User | Opportunity,UserId | OpportunityId,Opportunity Team Member,OpportunityTeamMember,Standard,1093,08-04-2026 (9:00 P.M),,Opportunity Team Member,
Data,Account Role,Account_Role__c,Custom,844,08-04-2026,Opportunity | Account,Opportunity__c | Account__c,,,,,,,Account Role,
Data,Builder Metrics,Builder_Metrics__c,Custom,13,08-04-2026,User | Group | Account,OwnerId | Corporate_Builder__c,,,,,,,Builder Metrics,
Data,Course Enrollment,docebo_Course_Enrollment__c,Custom,102542,08-04-2026,User | Group | Contact | docebo_LP_Enrollment__c,OwnerId | Contact__c | Docebo_LP_Enrollment__c,,,,,,,Course Enrollment,
Data,LP Enrollment,docebo_LP_Enrollment__c,Custom,7335,08-04-2026,User | Group | Contact,OwnerId | Contact__c,,,,,,,LP Enrollment,
Data,Opportunity Dealers,Opportunity_Dealers__c,Custom,64303,08-04-2026,User | Group | Account | Opportunity,OwnerId | Dealer__c | Opportunity__c,,,,,,,Opportunity Dealers,
Data,Quote Request,Quote_Request__c,Custom,5236,08-04-2026,User | Group | Account | Opportunity,OwnerId | Architect__c | Dealer__c | Developer__c | Commercial_Opportunity__c | Opportunity__c,,,,,,,Quote Request,
Data,Request Line Item,Request_Line_Item__c,Custom,5451,08-04-2026,User | Group | Quote_Request__c,OwnerId | Quote_Request__c,,,,,,,Request Line Item,
Data,Survey,Survey__c,Custom,47964,08-04-2026,Account | User | Group | Performance_Card__c,Account__c | Name_of_dealer_visited__c | OwnerId | Performance_Card__c,,,,,,,Survey,
